制程码,公司名称,工序,机台,生产车间,物料编码,物料名称,规格型号,单位,合格品,不良品,报工人员,报工时间,标签来源
R260530034-000-CQYXL-2522,重庆元新隆,,,亿企,500104-00518-01-04-A,小卡三代-前膨胀梁,658,个,150,0,YXL-ZC0001,2026/6/1 7:50:55,独立标签
R260530034-000-CQYXL-2525,重庆元新隆,,,亿企,BP76B-XC-01,BP76B-前边梁,724.5,个,240,0,YXL-ZC0001,2026/6/1 7:50:26,独立标签
R260530034-000-CQYXL-2523,重庆元新隆,,,亿企,BP76A-XC-06,BP76A-左边梁,807,个,245,0,YXL-ZC0001,2026/6/1 7:50:19,独立标签
R260530034-000-CQYXL-2521,重庆元新隆,,,亿企,BP76A-XC-06,BP76A-左边梁,807,个,245,0,YXL-ZC0001,2026/6/1 7:50:13,独立标签
R260530034-000-CQYXL-2524,重庆元新隆,,,亿企,BP62-XC-09,BP62前梁,811.21,个,447,0,YXL-ZC0001,2026/6/1 7:50:05,独立标签
R20260530-6407-CQYXL-2689,重庆元新隆,机加工,德玛仕1.6米,本厂,Q240930-8180-00-00,C01左边框,500109-00249-01-01,件,50,0,YXL-JG0008,2026/6/1 7:20:02,合批标签
R20260531-6417-CQYXL-2706,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3776-00-00,025AC中横梁,1293,个,100,0,YXL-JG0008,2026/6/1 7:16:30,独立标签
R20260531-6419-CQYXL-2703,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,1657.98,个,50,0,YXL-JG0008,2026/6/1 7:02:59,独立标签
R20260530-6403-CQYXL-2644,重庆元新隆,机加工,德力2.5米,本厂,Q250906-4535-00-00,小卡三代-右边框,500104-00518-01-010-02-C,个,50,0,YXL-JG0008,2026/6/1 6:48:16,合批标签
R20260601-6464-CQYXL-2701,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4556-00-00,AWT87.3-横梁02,500110-00799-01-03,个,100,0,YXL-JG0008,2026/6/1 6:12:39,独立标签
R20260531-6415-CQYXL-2650,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3768-00-00,025AC左边梁,1657.98,个,50,0,YXL-JG0008,2026/6/1 3:29:29,合批标签
R20260530-6407-CQYXL-2690,重庆元新隆,机加工,德玛仕1.6米,本厂,Q240930-8180-00-00,C01左边框,500109-00249-01-01,件,10,0,YXL-JG0008,2026/6/1 2:50:14,合批标签
R20260531-6436-CQYXL-2693,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,500110-00799-01-02,个,100,0,YXL-JG0008,2026/6/1 2:48:44,独立标签
R20260601-6444-CQYXL-2670,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3776-00-00,025AC中横梁,1293,个,113,0,YXL-JG0008,2026/6/1 2:47:53,合批标签
R20260601-6447-CQYXL-2691,重庆元新隆,机加工,德力2.5米,本厂,Q250417-4248-00-00,025AC后边梁,1341.49,个,93,0,YXL-JG0008,2026/6/1 2:21:00,合批标签
R20260601-6440-CQYXL-2658,重庆元新隆,机加工,德力2.5米,本厂,Q240930-8181-00-00,C01右边框,500109-00249-01-02,个,9,0,YXL-JG0008,2026/6/1 0:58:28,合批标签
R20260531-6417-CQYXL-2663,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3776-00-00,025AC中横梁,1293,个,100,0,YXL-JG0001,2026/5/31 22:47:37,合批标签
R20260531-6436-CQYXL-2664,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,,个,100,0,YXL-JG0001,2026/5/31 22:47:11,独立标签
R20260531-6419-CQYXL-2616,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,1657.98,个,50,0,YXL-JG0008,2026/5/31 22:32:09,合批标签
R20260531-6413-CQYXL-2637,重庆元新隆,机加工,德力2.5米,本厂,Q240930-8181-00-00,C01右边框,1372.23*189.93*100.5,个,50,0,YXL-JG0008,2026/5/31 21:19:36,合批标签
R20260531-6467-CQYXL-2625,重庆元新隆,侧铣,德力2.5米,本厂,Q260402-7649-00-00,37/53KWH膨胀梁,500109-00515（552）-01-07,个,220,0,YXL-JG0008,2026/5/31 20:45:55,独立标签
R20260531-6421-CQYXL-2586,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4533-00-00,小卡三代-左边框,500104-00518-01-010-01-C,个,50,0,YXL-JG0008,2026/5/31 20:20:56,合批标签
R20260531-6436-CQYXL-2588,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,500110-00799-01-02,个,100,0,YXL-JG0003,2026/5/31 19:44:25,独立标签
R20260530-6356-CQYXL-2634,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3768-00-00,025AC左边梁,1657.98,个,50,0,YXL-JG0003,2026/5/31 18:55:48,独立标签
R20260530-6358-CQYXL-2633,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3776-00-00,025AC中横梁,1293,个,100,0,YXL-JG0003,2026/5/31 18:10:49,独立标签
R20260531-6420-CQYXL-2629,重庆元新隆,机加工,德力2.5米,本厂,Q250417-4248-00-00,025AC后边梁,,个,100,0,YXL-JG0003,2026/5/31 15:56:25,独立标签
R20260530-6383-CQYXL-2628,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4556-00-00,AWT87.3-横梁02,500110-00799-01-03,个,100,0,YXL-JG0003,2026/5/31 15:53:12,独立标签
R20260531-6469-CQYXL-2620,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,,个,23,0,YXL-JG0003,2026/5/31 14:44:20,合批标签
R20260529-6310-CQYXL-2263,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,1657.98,个,50,0,YXL-JG0003,2026/5/31 13:50:43,合批标签
R20260529-6342-CQYXL-2369,重庆元新隆,机加工,德玛仕1.6米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,1302,个,99,0,YXL-JG0003,2026/5/31 13:24:59,合批标签
R20260530-6405-CQYXL-2577,重庆元新隆,机加工,德玛仕1.6米,本厂,Q240930-8180-00-00,C01左边框,500109-00249-01-01,件,5,0,YXL-JG0003,2026/5/31 13:10:28,合批标签
R20260531-6469-CQYXL-2601,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,31,0,YXL-JG0003,2026/5/31 13:09:19,合批标签
R20260530-6403-CQYXL-2563,重庆元新隆,机加工,德力2.5米,本厂,Q250906-4535-00-00,小卡三代-右边框,500104-00518-01-010-02-C,个,50,0,YXL-JG0008,2026/5/31 12:54:58,合批标签
R20260530-6359-CQYXL-2593,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3778-00-00,025AC纵梁,1515.4,个,200,0,YXL-JG0008,2026/5/31 11:08:59,合批标签
R20260530-6397-CQYXL-2547,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,10062035-0-05,个,93,0,YXL-JG0008,2026/5/31 10:53:09,合批标签
R20260529-6306-CQYXL-2420,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3768-00-00,025AC左边梁,1657.98,个,50,0,YXL-JG0008,2026/5/31 10:38:31,合批标签
R20260601-6468-CQYXL-2537,重庆元新隆,侧铣,德力2.5米,本厂,Q260402-7649-00-00,37/53KWH膨胀梁,500109-00515（552）-01-07,个,220,0,YXL-JG0008,2026/5/31 10:27:47,合批标签
R20260530-6358-CQYXL-2587,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3776-00-00,025AC中横梁,1293,个,100,0,YXL-JG0008,2026/5/31 7:21:14,独立标签
R20260524-6077-CQYXL-1769,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,500110-00799-01-02,个,100,0,YXL-JG0008,2026/5/31 7:20:19,独立标签
R20260530-6385-CQYXL-2584,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,,个,42,0,YXL-JG0008,2026/5/31 6:50:38,合批标签
R20260530-6379-CQYXL-2581,重庆元新隆,机加工,德力2.5米,本厂,Q240930-8181-00-00,C01右边框,500109-00249-01-02,件,50,0,YXL-JG0008,2026/5/31 6:34:21,合批标签
R20260531-6420-CQYXL-2579,重庆元新隆,机加工,德力2.5米,本厂,Q250417-4248-00-00,025AC后边梁,,个,100,0,YXL-JG0008,2026/5/31 5:44:04,合批标签
R20260530-6385-CQYXL-2555,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,42,0,YXL-JG0008,2026/5/31 5:21:45,合批标签
R20260530-6360-CQYXL-2576,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,1657.98,个,50,0,YXL-JG0008,2026/5/31 5:02:55,合批标签
R20260530-6405-CQYXL-2578,重庆元新隆,机加工,德玛仕1.6米,本厂,Q240930-8180-00-00,C01左边框,,件,50,0,YXL-JG0008,2026/5/31 4:49:03,合批标签
R20260601-6464-CQYXL-2575,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4556-00-00,AWT87.3-横梁02,500110-00799-01-03,个,100,0,YXL-JG0008,2026/5/31 4:44:32,独立标签
R20260530-6362-CQYXL-2512,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4533-00-00,小卡三代-左边框,500104-00518-01-010-01-C,个,50,0,YXL-JG0008,2026/5/31 3:52:39,合批标签
R20260530-6356-CQYXL-2566,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3768-00-00,025AC左边梁,1657.98,个,50,0,YXL-JG0008,2026/5/31 1:40:33,合批标签
R20260601-6463-CQYXL-2565,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,500110-00799-01-02,个,100,0,YXL-JG0008,2026/5/31 1:40:15,独立标签
R20260530-6403-CQYXL-2531,重庆元新隆,机加工,德力2.5米,本厂,Q250906-4535-00-00,小卡三代-右边框,500104-00518-01-010-02-C,个,50,0,YXL-JG0008,2026/5/31 0:14:17,合批标签
R20260530-6357-CQYXL-2542,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,1293,个,100,0,YXL-JG0008,2026/5/30 23:08:43,独立标签
R20260601-6463-CQYXL-2554,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,500110-00799-01-02,个,100,0,YXL-JG0008,2026/5/30 22:55:13,合批标签
R20260530-6360-CQYXL-2534,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,1657.98,个,50,0,YXL-JG0008,2026/5/30 22:37:18,独立标签
R20260530-6397-CQYXL-2511,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,,个,80,0,YXL-JG0008,2026/5/30 22:37:10,合批标签
