产品编码,产品名称,领料物资ID,材料规格,领料物资名称,产品/项目,单台用量,毛坯重【KG】,产品重【KG】,铝块重【KG】,铝屑重【KG】,领料单位,默认客户
10062035-0-02,025AC前边梁,10062035-0-02-YL,741.8,025AC前边梁,025AC,1,1.239,0.98,0.0,0.259,质检部,联伟
10062035-0-03,025AC左边梁,10062035-0-03/11-YL-GY,1657.98,025AC左右边梁,025AC,1,6.03,5.146,0.464,0.42,质检部,联伟
10062035-0-04-A,025AC后边梁,10062035-0-04-YL,1341.49,025AC后边梁,025AC,1,3.915,3.775,0.0,0.14,质检部,联伟
10062035-0-05,025AC前横梁,10062035-0-05-YL,1293,025AC前横梁,025AC,1,2.252,2.18,0.0,0.072,质检部,联伟
10062035-0-06,025AC中横梁,10062035-0-06-YL,1293,025AC中横梁,025AC,1,3.304,3.2,0.0,0.104,质检部,联伟
10062035-0-07,025AC纵梁,10062035-0-07-YL,1515.4,025AC纵梁,025AC,1,2.626,2.516,0.0,0.11,质检部,联伟
10062035-0-11,025AC右边梁,10062035-0-03/11-YL-GY,1657.98,025AC左右边梁,025AC,1,6.028,5.165,0.464,0.399,质检部,联伟
10062035-0-45,025AC前吊耳,10062035-0-45-YL,44,025AC前吊耳,025AC,1,0.151,0.136,0.0,0.015,质检部,联伟
500109-00515（552）-01-07,37/53KWH膨胀梁,500109-00515-01-07-YL,1192.001,37KWH膨胀梁,37KWH,1,2.2,2.08,0.0,0.12,质检部,祥鑫
500109-00515-01-00,37KWH安装梁00,500109-00515-01-00-YL,115.47,37KWH安装梁00,37KWH,1,0.05,0.048,0.0,0.002,外协,祥鑫
500109-00515-01-01-01,37KWH后梁-01,500109-00515-01-01-01-YL,368.910,37KWH后梁-01,37KWH,1,0.689,0.673,0.0,0.016,外协,祥鑫
500109-00515-01-01-02,37KWH后梁-02,500109-00515-01-01-02-YL,500109-00515-01-01-02-YL,37KWH后梁-02,37KWH,1,0.378,0.357,0.0,0.021,外协,祥鑫
500109-00515-01-02,37KWH左右边梁1,500109-00515-01-02-YL-GY,1228.448,37KWH左右边梁,37KWH,1,9.25,6.45,2.0,0.8,机加部,祥鑫
500109-00515-01-03,37KWH左右边梁2,500109-00515-01-02-YL-GY,1228.448,37KWH左右边梁,37KWH,1,9.25,6.45,2.0,0.8,机加部,祥鑫
500109-00515-01-04,37KWH安装梁1,500109-00515-01-04-YL,500109-00515-01-04-YL,37KWH安装梁1,37KWH,1,0.073,0.066,0.0,0.007,外协,祥鑫
500109-00515-01-05,37KWH安装梁3,500109-00515-01-05-YL,500109-00515-01-05-YL,37KWH安装梁3,37KWH,1,0.13,0.129,0.0,0.001,外协,祥鑫
500109-00515-01-06,37KWH前梁,500109-00515-01-06-YL,1210.371,37KWH前梁,37KWH,1,3.832,3.15,0.0,0.682,机加部,祥鑫
500109-00515-01-07,37KWH膨胀梁,500109-00515-01-07-YL,1192.001,37KWH膨胀梁,37KWH,1,2.2,2.08,0.0,0.12,机加部,祥鑫
500109-00515-01-08,37KWH前斜边梁,500109-00515-01-08/09-YL-GY,70.12,37KWH-552前斜边梁/2,37KWH,1,0.135,0.111,0.0,0.024,外协,祥鑫
500109-00515-01-09,37KWH前斜边梁2,500109-00515-01-08/09-YL-GY,70.12,37KWH-552前斜边梁/2,37KWH,1,0.135,0.111,0.0,0.024,外协,祥鑫
500109-00515-01-10,37KWH中间纵梁,500109-00515-01-10-YL-GY,1011.42,37KWH中间纵梁,37KWH,1,1.582,1.536,0.0,0.046,机加部,祥鑫
500109-00515-01-12,37KWH安装梁2,500109-00515-01-12-YL,500109-00515-01-12-YL,37KWH安装梁2,37KWH,1,0.114,0.09,0.0,0.024,外协,祥鑫
500109-00515-01-18,37KWH安装梁6,500109-00515-01-18-YL,500109-00515-01-18-YL,37KWH安装梁6,37KWH,1,0.129,0.126,0.0,0.003,外协,祥鑫
500109-00515-01-21,37KWH安装梁8,500109-00515-01-21-YL,500109-00515-01-21-YL,37KWH安装梁8,37KWH,1,0.104,0.082,0.0,0.022,外协,祥鑫
500109-00515-08-04-01,37KWH前客户挂载支架本体,500109-00515-08-04-01-YL,500109-00515-08-04-01-YL,37KWH前客户挂载支架本体,37KWH,2,0.214,0.141,0.0,0.073,外协,祥鑫
500109-00515-08-04-02,37KWH后客户挂载支架本体,500109-00515-08-04-02-YL,500109-00515-08-04-02-YL,37KWH后客户挂载支架本体,37KWH,2,0.197,0.114,0.0,0.083,外协,祥鑫
500109-00515-08-14,37KWH客户支架04,500109-00515-08-14-YL,500109-00515-08-14-YL,37KWH客户支架04,37KWH,1,0.046,0.026,0.0,0.02,外协,祥鑫
500109-00515-08-15,37KWH客户支架05,500109-00515-08-15-YL,500109-00515-08-15-YL,37KWH客户支架05,37KWH,1,0.028,0.026,0.0,0.002,外协,祥鑫
