单据号,物资编码,物资名称,计量单位,入出库编码,入出库类型,入出库标识,库房,业务时间,数量,核算期,审核人,部门,用途,合作伙伴,单据描述,行描述,要货日期,审核时间
RZZ260527301,500110-00799-01-03,AWT87.3-横梁02,件,CRK31,检验入库,R,在制成品库,2026/5/27 15:46:04,100,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260525-6113-CQYXL-1931,2026/5/27 0:00:00,2026/5/27 15:48:39
RZZ260527301,BP76A-XC-01,BP76A-前边梁,件,CRK31,检验入库,R,在制成品库,2026/5/27 15:46:04,180,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R260525043-000-CQYXL-1876,2026/5/27 0:00:00,2026/5/27 15:48:41
RZZ260527301,BP76A-XC-01,BP76A-前边梁,件,CRK31,检验入库,R,在制成品库,2026/5/27 15:46:04,90,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R260526006-000-CQYXL-1975,2026/5/27 0:00:00,2026/5/27 15:48:44
ZZKCK260527019,BP76A-XC-02,BP76A-后边梁,个,CRK32,包装出库,C,在制成品库,2026/5/27 15:42:09,420,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260527_9076,2026/5/27 0:00:00,2026/5/27 15:45:22
CCPRK260527019,BP76A-XC-02,BP76A-后边梁,个,CRK03,完工入库,R,成品库,2026/5/27 15:42:09,420,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260527_9076,2026/5/27 0:00:00,2026/5/27 15:45:21
RZZ260527297,500109-00312-01-14,E35横梁01,件,CRK31,检验入库,R,在制成品库,2026/5/27 15:35:21,100,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260522-6022-CQYXL-1505,2026/5/27 0:00:00,2026/5/27 15:42:21
RZZ260527296,BP76A-XC-02,BP76A-后边梁,件,CRK31,检验入库,R,在制成品库,2026/5/27 15:30:29,360,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R260526084-000-CQYXL-1995,2026/5/27 0:00:00,2026/5/27 15:33:25
RZZ260527292,500104-00518-01-05-B,小卡三代-后膨胀梁,件,CRK31,检验入库,R,在制成品库,2026/5/27 15:16:50,42,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260526-6205-CQYXL-2000,2026/5/27 0:00:00,2026/5/27 15:18:25
RZZ260527291,10062035-0-06,025AC中横梁,件,CRK31,检验入库,R,在制成品库,2026/5/27 15:14:37,100,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260521-5910-CQYXL-1287,2026/5/27 0:00:00,2026/5/27 15:18:23
BGC260527034,500104-00518-01-010-01/02-C-YL,小卡三代-左右边框,个,CRK04,生产领用,C,原材料库,2026/5/27 15:12:01,1,202605,YXL-JG0039,廖强,生产,,生产领料,R20260526-6176-CQYXL,2026/5/27 0:00:00,2026/5/27 15:15:24
