月度,库房组,库房,物资编码,物资名称,计量单位,期初库存,入库,出库,期末库存,当前库存,虚拟库存,在途
202605,产成品类库,成品库,VL1-1703A4-001-31,VL1中纵梁,个,26.0,0.0,0.0,26.0,26.0,26.0,0
202605,产成品类库,成品库,P0R-1701-001-03,P0R右边梁,个,9.0,0.0,0.0,9.0,9.0,9.0,0
202605,产成品类库,成品库,P0R-1701-001-02,P0R左边梁,个,9.0,0.0,0.0,9.0,9.0,9.0,0
202605,产成品类库,成品库,BP80-XC-06,BP80-后横梁,个,0.0,2326.0,1343.0,983.0,983.0,983.0,0
202605,产成品类库,成品库,BP76A-XC-06,BP76A-左边梁,个,0.0,2932.0,2132.0,800.0,800.0,800.0,0
202605,产成品类库,成品库,BP76A-XC-02,BP76A-后边梁,个,0.0,3389.0,2399.0,990.0,990.0,990.0,0
202605,产成品类库,成品库,BP76A-XC-01,BP76A-前边梁,个,0.0,2985.0,2805.0,180.0,180.0,180.0,0
202605,产成品类库,成品库,BP62-XC-09,BP62前梁,个,0.0,1920.0,1600.0,320.0,320.0,320.0,0
202605,产成品类库,成品库,BP45B-XC-01,BP45B前边梁,个,0.0,2319.0,1999.0,320.0,320.0,320.0,0
202605,产成品类库,成品库,6608267565,亮达-极氪左下门槛,个,275.0,0.0,0.0,275.0,275.0,275.0,0
202605,产成品类库,成品库,6608267564,亮达-极氪右下门槛,个,150.0,0.0,0.0,150.0,150.0,150.0,0
202605,产成品类库,成品库,500110-00799-01-03,AWT87.3-横梁02,个,0.0,4938.0,4038.0,900.0,900.0,900.0,0
202605,产成品类库,成品库,500110-00799-01-02,AWT87.3-横梁01,个,0.0,4600.0,4400.0,200.0,200.0,200.0,0
202605,产成品类库,成品库,500109-00677-01-10,F3-56-膨胀梁01,个,0.0,570.0,565.0,5.0,5.0,5.0,0
202605,产成品类库,成品库,500109-00677-01-09,F3-56-中部横梁,个,0.0,901.0,757.0,144.0,144.0,144.0,0
202605,产成品类库,成品库,500109-00677-01-04,F3-56-左右边梁02,个,0.0,489.0,484.0,5.0,5.0,5.0,0
202605,产成品类库,成品库,500109-00677-01-03-A,F3-56-左右边梁01,个,0.0,79.0,74.0,5.0,5.0,5.0,0
202605,产成品类库,成品库,500109-00677-01-02,F3-56-后梁01,个,0.0,376.0,371.0,5.0,5.0,5.0,0
202605,产成品类库,成品库,500109-00677-01-01,F3-56-前梁01,个,0.0,381.0,376.0,5.0,5.0,5.0,0
202605,产成品类库,成品库,500109-00562-10-01-11-02,PMA1两侧梁-右（国际）,个,0.0,391.0,320.0,71.0,71.0,71.0,0
202605,产成品类库,成品库,500109-00515（552）-01-07,37/53KWH膨胀梁,个,0.0,2442.0,1782.0,660.0,660.0,660.0,0
202605,产成品类库,成品库,500109-00396-01-08,MS11-5加强块02,个,78.0,0.0,0.0,78.0,78.0,78.0,0
202605,产成品类库,成品库,500109-00312-01-19,E35纵梁,个,0.0,1672.0,1352.0,320.0,320.0,320.0,0
202605,产成品类库,成品库,500109-00312-01-03,E35前梁01,个,0.0,2196.0,1906.0,290.0,290.0,290.0,0
202605,产成品类库,成品库,500104-00518-01-04-A,小卡三代-前膨胀梁,个,0.0,2455.0,2203.0,252.0,252.0,252.0,0
202605,产成品类库,成品库,500104-00518-01-03-C,小卡三代-前边框梁,个,0.0,2280.0,2040.0,240.0,240.0,240.0,0
202605,产成品类库,成品库,500104-00518-01-010-02-C,小卡三代-右边框,个,0.0,2332.0,2152.0,180.0,180.0,180.0,0
202605,产成品类库,成品库,500104-00518-01-010-01-C,小卡三代-左边框,个,0.0,2392.0,2152.0,240.0,240.0,240.0,0
202605,产成品类库,成品库,10062035-0-07,025AC纵梁,个,0.0,5392.0,4593.0,799.0,799.0,799.0,0
202605,产成品类库,成品库,10062035-0-06,025AC中横梁,个,0.0,4120.0,3900.0,220.0,220.0,220.0,0
202605,产成品类库,成品库,10062035-0-05,025AC前横梁,个,272.0,4161.0,4161.0,272.0,272.0,272.0,0
202605,产成品类库,成品库,10062035-0-04-A,025AC后边梁,个,0.0,3887.0,3731.0,156.0,156.0,156.0,0
202605,外购件类库,二次机加库,XBFXJ-YL,鑫铂返修件,个,0.0,500.0,0.0,500.0,500.0,500.0,0
202605,外购件类库,二次机加库,BP76B-XC-06-YL,BP76B-中纵梁,个,488.0,0.0,0.0,488.0,488.0,488.0,0
202605,外购件类库,二次机加库,BP62-XC-05-A-YL,BP62横梁-A,个,242.0,0.0,0.0,242.0,242.0,242.0,0
202605,外购件类库,二次机加库,BP45B-XC-05-YL,BP45（76）B前横梁,个,383.0,0.0,0.0,383.0,383.0,383.0,0
202605,外购件类库,二次机加库,5040076374-XC-14-YL,DJ2436中部横梁,个,125.0,0.0,0.0,125.0,125.0,125.0,0
202605,外购件类库,二次机加库,500110-00848-01-07-YL,F618-膨胀横梁2,个,101.0,0.0,0.0,101.0,101.0,101.0,0
202605,外购件类库,二次机加库,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,5213.0,1301.0,0.0,6514.0,6514.0,6514.0,0
202605,外购件类库,二次机加库,500109-00698-01-04-YL,EHU-56左右边梁02,个,70.0,0.0,0.0,70.0,70.0,70.0,0
202605,外购件类库,二次机加库,500109-00698-01-03-YL,EHU-56左右边梁01,个,50.0,0.0,0.0,50.0,50.0,50.0,0
202605,外购件类库,二次机加库,500109-00677-01-09-YL,F3-56-中部横梁,个,31.0,0.0,0.0,31.0,31.0,31.0,0
202605,外购件类库,二次机加库,500109-00634-01-01-01/02-YL-GY,F1L-两侧梁,个,47.0,0.0,0.0,47.0,47.0,47.0,0
202605,外购件类库,二次机加库,500109-00515-01-07-YL,37KWH膨胀梁,个,5201.0,940.0,0.0,6141.0,6141.0,6141.0,0
202605,外购件类库,二次机加库,500109-00515-01-06-YL,37KWH前梁,个,6827.0,733.0,0.0,7560.0,7560.0,7560.0,0
202605,外购件类库,二次机加库,500109-00312-01-15-YL-GY,E35横梁02/03,个,0.0,48.0,0.0,48.0,48.0,48.0,0
202605,外购件类库,二次机加库,500109-00276-10-01-11-L-YL-GY,SEA1两侧梁,个,65.0,0.0,0.0,65.0,65.0,65.0,0
202605,外购件类库,二次机加库,500104-00518-01-05-B-YL,小卡三代-后膨胀梁,个,98.0,0.0,0.0,98.0,98.0,98.0,0
202605,外购件类库,二次机加库,500104-00518-01-010-01/02-C-YL,小卡三代-左右边框,个,115.0,0.0,0.0,115.0,115.0,115.0,0
202605,外购件类库,二次机加库,10062035-0-07-YL,025AC纵梁,个,25.0,0.0,0.0,25.0,25.0,25.0,0
202605,外购件类库,二次机加库,10062035-0-06-YL,025AC中横梁,个,61.0,0.0,0.0,61.0,61.0,61.0,0
202605,外购件类库,二次机加库,10062035-0-03/11-YL-GY,025AC左右边梁,个,211.0,0.0,0.0,211.0,211.0,211.0,0
202605,外购件类库,原材料库,SD01-XC-027/28-YL-GY,SD01-69左安装梁1,个,22.0,0.0,0.0,22.0,22.0,22.0,0
202605,外购件类库,原材料库,SD01-XC-020-YL,SD01-69中横梁,个,10.0,0.0,0.0,10.0,10.0,10.0,0
202605,外购件类库,原材料库,SD01-XC-019-YL,SD01-69前横梁,个,10.0,0.0,0.0,10.0,10.0,10.0,0
202605,外购件类库,原材料库,SD01-XC-012-YL,SD01-69纵梁,个,10.0,0.0,0.0,10.0,10.0,10.0,0
202605,外购件类库,原材料库,SD01-XC-009-YL,SD01-69前框梁,个,11.0,0.0,0.0,11.0,11.0,11.0,0
202605,外购件类库,原材料库,SD01-XC-004-YL,SD01-69后横梁1,个,10.0,0.0,0.0,10.0,10.0,10.0,0
202605,外购件类库,原材料库,SD01-XC-001-YL,SD01-69后面板,个,10.0,0.0,0.0,10.0,10.0,10.0,0
202605,外购件类库,原材料库,SD01-61KWH-B-XC-009-YL,SD01中横梁,个,18.0,306.0,315.0,9.0,9.0,9.0,0
202605,外购件类库,原材料库,BP62-XC-06-A-YL,BP62中梁-A,个,3.0,0.0,0.0,3.0,3.0,3.0,0
202605,外购件类库,原材料库,6608267564/565-YL-GY,亮达-极氪左右门槛,个,205.0,25.0,0.0,230.0,230.0,230.0,0
202605,外购件类库,原材料库,500604-00169-007-YL,SEA1底护板-06（窄）,个,0.0,46.0,0.0,46.0,46.0,46.0,0
202605,外购件类库,原材料库,500604-00169-002-YL,SEA1底护板-01(宽）,个,0.0,323.0,0.0,323.0,323.0,323.0,0
202605,外购件类库,原材料库,500111-00080-02-02-YL-GY,ENERS模组后梁,把,1.0,0.0,0.0,1.0,1.0,1.0,0
202605,外购件类库,原材料库,500111-00080-02-01-YL-GY,ENERS模组前梁,个,45.0,0.0,0.0,45.0,45.0,45.0,0
202605,外购件类库,原材料库,500110-00848-01-07-YL,F618-膨胀横梁2,个,92.0,121.0,158.0,55.0,55.0,55.0,0
202605,外购件类库,原材料库,500110-00848-01-05-YL,F618-中部横梁,个,46.0,143.0,129.0,60.0,60.0,60.0,0
202605,外购件类库,原材料库,500110-00848-01-04-YL,F618-两侧梁02,个,24.0,160.0,131.0,53.0,53.0,53.0,0
202605,外购件类库,原材料库,500110-00848-01-03-YL,F618-两侧梁01,个,178.0,3.0,129.0,52.0,52.0,52.0,0
202605,外购件类库,原材料库,500110-00848-01-02-YL,F618-后梁01,个,188.0,13.0,140.0,61.0,61.0,61.0,0
202605,外购件类库,原材料库,500110-00848-01-01-YL,F618-前梁01,个,4.0,137.0,137.0,4.0,4.0,4.0,0
202605,外购件类库,原材料库,500110-00800/00825-01-07-YL-GY,问界-81-支撑支架01,个,0.0,167.0,0.0,167.0,167.0,167.0,0
202605,外购件类库,原材料库,500110-00799-04-10-01-YL,AWT87.3-外部支架07,个,0.0,35.0,0.0,35.0,35.0,35.0,0
202605,外购件类库,原材料库,500110-00799-04-02-01-YL,AWT87.3-外部支架02,个,0.0,937.0,880.0,57.0,57.0,57.0,0
202605,外购件类库,原材料库,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,787.0,8952.0,8710.0,1029.0,1029.0,1029.0,0
202605,外购件类库,原材料库,500109-00677-01-01-YL,F3-56-前梁01,个,517.0,336.0,852.0,1.0,1.0,1.0,0
202605,外购件类库,原材料库,500109-00562-10-01-11-01-YL-GY,PMA1两侧梁左右（国际）,个,26.0,36.0,58.0,4.0,4.0,4.0,0
