年周,开始日期,项目/车型,产品编码,产品名称,单位,单车用量,星期日,星期一,星期二,星期三,星期四,星期五,星期六,计划量,完成量,完成率,属性
2026_22,2026-05-24,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,813.0,97.0,本厂
2026_22,2026-05-24,小卡三代,500104-00518-01-03-C,小卡三代-前边框梁,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,,,本厂
2026_22,2026-05-24,小卡三代,500104-00518-01-010-02-C,小卡三代-右边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,302.0,48.0,本厂
2026_22,2026-05-24,小卡三代,500104-00518-01-010-01-C,小卡三代-左边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,317.0,50.0,本厂
2026_22,2026-05-24,PP-0168,2.A.02.6184-OSP00,PP-0168-右边梁,个,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,420,86.0,20.0,本厂
2026_22,2026-05-24,F618,500110-00848-01-07,F618-膨胀横梁2,个,1,,1.0,1.0,,,,,2,45.0,2250.0,本厂
2026_22,2026-05-24,F618,500110-00848-01-01,F618-前梁01,个,1,,1.0,1.0,,,,,2,90.0,4500.0,本厂
2026_22,2026-05-24,E35,500109-00312-01-14,E35横梁01,个,1,1.0,1.0,,,,,,2,2.0,100.0,本厂
2026_22,2026-05-24,E35,500109-00312-01-15,E35横梁02,个,1,1.0,1.0,,,,,,2,170.0,8500.0,本厂
2026_22,2026-05-24,E35,500109-00312-01-16,E35横梁03,个,1,1.0,1.0,,,,,,2,231.0,11550.0,本厂
2026_22,2026-05-24,E35,500109-00312-01-17,E35横梁04,个,1,,,,,,,,0,9.0,,本厂
2026_22,2026-05-24,AWT-87.3(E16),500110-00799-01-02,AWT87.3-横梁01,个,1,190.0,190.0,190.0,190.0,190.0,190.0,190.0,1330,1648.0,124.0,本厂
2026_22,2026-05-24,AWT-87.3(E16),500110-00799-01-03,AWT87.3-横梁02,个,1,180.0,180.0,180.0,180.0,180.0,180.0,180.0,1260,2804.0,223.0,本厂
2026_22,2026-05-24,37KWH,500109-00515（552）-01-07,37/53KWH膨胀梁,个,1,300.0,300.0,300.0,300.0,300.0,300.0,300.0,2100,640.0,30.0,本厂
2026_22,2026-05-24,025AC,10062035-0-04-A,025AC后边梁,个,1,240.0,240.0,240.0,240.0,240.0,240.0,1.0,1441,1714.0,119.0,本厂
2026_22,2026-05-24,025AC,10062035-0-05,025AC前横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,562.0,43.0,本厂
2026_22,2026-05-24,025AC,10062035-0-11,025AC右边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,583.0,48.0,本厂
2026_22,2026-05-24,025AC,10062035-0-06,025AC中横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,963.0,73.0,本厂
2026_22,2026-05-24,025AC,10062035-0-07,025AC纵梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,894.0,68.0,本厂
2026_22,2026-05-24,025AC,10062035-0-03,025AC左边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,602.0,49.0,本厂
2026_21,2026-05-17,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,642.0,76.0,本厂
2026_21,2026-05-17,小卡三代,500104-00518-01-03-C,小卡三代-前边框梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,785.0,93.0,本厂
2026_21,2026-05-17,小卡三代,500104-00518-01-010-02-C,小卡三代-右边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,585.0,93.0,本厂
2026_21,2026-05-17,小卡三代,500104-00518-01-010-01-C,小卡三代-左边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,510.0,81.0,本厂
2026_21,2026-05-17,PP-0168,2.A.02.6184-OSP00,PP-0168-右边梁,个,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,420,454.0,108.0,本厂
2026_21,2026-05-17,E35,500109-00312-01-15,E35横梁02,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,474.0,45.0,本厂
2026_21,2026-05-17,E35,500109-00312-01-16,E35横梁03,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,496.0,48.0,本厂
2026_21,2026-05-17,C01,500109-00249-01-02,C01右边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,150.0,156,,,本厂
2026_21,2026-05-17,C01,500109-00249-01-01,C01左边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,140.0,146,,,本厂
2026_21,2026-05-17,BV85,BV85-B-XC-006,BV85后边梁,个,1,1.0,1.0,1.0,1.0,,,,4,150.0,3750.0,本厂
2026_21,2026-05-17,BV85,BV85-B-XC-009,BV85后横梁,个,1,1.0,1.0,1.0,1.0,,,,4,150.0,3750.0,本厂
2026_21,2026-05-17,BV85,BV85-B-XC-017,BV85冷板加强板02,个,1,1.0,1.0,1.0,1.0,,,,4,150.0,3750.0,本厂
2026_21,2026-05-17,BV85,BV85-B-XC-018,BV85冷板加强板03,个,1,1.0,1.0,1.0,1.0,,,,4,299.0,7475.0,本厂
2026_21,2026-05-17,BV85,BV85-B-XC-007,BV85前横梁,个,1,1.0,1.0,1.0,1.0,,,,4,150.0,3750.0,本厂
2026_21,2026-05-17,BV85,BV85-B-XC-005,BV85右边梁,个,1,1.0,1.0,1.0,1.0,,,,4,196.0,4900.0,本厂
2026_21,2026-05-17,BV85,BV85-B-XC-008,BV85中横梁,个,1,1.0,1.0,1.0,1.0,,,,4,165.0,4125.0,本厂
2026_21,2026-05-17,BV85,BV85-B-XC-004,BV85左边梁,个,1,1.0,1.0,1.0,1.0,,,,4,151.0,3775.0,本厂
2026_21,2026-05-17,AWT-87.3(E16),500110-00799-01-02,AWT87.3-横梁01,个,1,190.0,190.0,190.0,190.0,190.0,190.0,190.0,1330,1853.0,139.0,本厂
2026_21,2026-05-17,AWT-87.3(E16),500110-00799-01-03,AWT87.3-横梁02,个,1,180.0,180.0,180.0,180.0,180.0,180.0,180.0,1260,1063.0,84.0,本厂
2026_21,2026-05-17,025AC,10062035-0-04-A,025AC后边梁,个,1,240.0,240.0,240.0,240.0,240.0,240.0,1.0,1441,1739.0,121.0,本厂
2026_21,2026-05-17,025AC,10062035-0-05,025AC前横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,2561.0,194.0,本厂
2026_21,2026-05-17,025AC,10062035-0-11,025AC右边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,961.0,78.0,本厂
2026_21,2026-05-17,025AC,10062035-0-06,025AC中横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,3367.0,255.0,本厂
2026_21,2026-05-17,025AC,10062035-0-07,025AC纵梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,1417.0,107.0,本厂
2026_21,2026-05-17,025AC,10062035-0-03,025AC左边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,976.0,80.0,本厂
2026_20,2026-05-10,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,682.0,81.0,本厂
2026_20,2026-05-10,小卡三代,500104-00518-01-03-C,小卡三代-前边框梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,918.0,109.0,本厂
2026_20,2026-05-10,小卡三代,500104-00518-01-010-02-C,小卡三代-右边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,543.0,86.0,本厂
2026_20,2026-05-10,小卡三代,500104-00518-01-010-01-C,小卡三代-左边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,577.0,92.0,本厂
2026_20,2026-05-10,PP-0168,2.A.02.6184-OSP00,PP-0168-右边梁,个,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,420,469.0,112.0,本厂
2026_20,2026-05-10,E35,500109-00312-01-15,E35横梁02,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,1247.0,120.0,本厂
2026_20,2026-05-10,E35,500109-00312-01-16,E35横梁03,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,1092.0,105.0,本厂
2026_20,2026-05-10,C01,500109-00249-01-02,C01右边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,150.0,156,,,本厂
2026_20,2026-05-10,C01,500109-00249-01-01,C01左边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,140.0,146,,,本厂
2026_20,2026-05-10,AWT-87.3(E16),500110-00799-01-02,AWT87.3-横梁01,个,1,190.0,190.0,190.0,190.0,190.0,190.0,190.0,1330,1432.0,108.0,本厂
2026_20,2026-05-10,AWT-87.3(E16),500110-00799-01-03,AWT87.3-横梁02,个,1,180.0,180.0,180.0,180.0,180.0,180.0,180.0,1260,728.0,58.0,本厂
2026_20,2026-05-10,025AC,10062035-0-04-A,025AC后边梁,个,1,240.0,240.0,240.0,240.0,240.0,240.0,1.0,1441,1317.0,91.0,本厂
2026_20,2026-05-10,025AC,10062035-0-05,025AC前横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,1742.0,132.0,本厂
2026_20,2026-05-10,025AC,10062035-0-11,025AC右边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,1091.0,89.0,本厂
2026_20,2026-05-10,025AC,10062035-0-06,025AC中横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,703.0,53.0,本厂
2026_20,2026-05-10,025AC,10062035-0-07,025AC纵梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,1265.0,96.0,本厂
2026_20,2026-05-10,025AC,10062035-0-03,025AC左边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,1168.0,95.0,本厂
2026_19,2026-05-03,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,596.0,71.0,本厂
2026_19,2026-05-03,小卡三代,500104-00518-01-03-C,小卡三代-前边框梁,个,1,1.0,1.0,1.0,120.0,120.0,120.0,120.0,483,796.0,165.0,本厂
2026_19,2026-05-03,小卡三代,500104-00518-01-04-A,小卡三代-前膨胀梁,个,1,140.0,140.0,140.0,140.0,140.0,140.0,140.0,980,,,本厂
2026_19,2026-05-03,小卡三代,500104-00518-01-010-02-C,小卡三代-右边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,526.0,83.0,本厂
2026_19,2026-05-03,小卡三代,500104-00518-01-010-01-C,小卡三代-左边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,536.0,85.0,本厂
2026_19,2026-05-03,SEA1/EF1E,500109-00584-10-01-11-02,SEA1两侧梁-右(584),个,1,,,1.0,1.0,1.0,1.0,1.0,5,,,本厂
2026_19,2026-05-03,SEA1/EF1E,500109-00584-10-01-11-01,SEA1两侧梁-左(584),个,1,,,1.0,1.0,1.0,1.0,1.0,5,,,本厂
2026_19,2026-05-03,SEA1/EF1E,500109-00406-10-07,SEA1前补强梁,个,1,,,1.0,1.0,1.0,1.0,1.0,5,,,本厂
2026_19,2026-05-03,SEA1/EF1E,500109-00406-10-03,SEA1前梁,个,1,,,,,,,,0,,,本厂
2026_19,2026-05-03,PP-0168,2.A.02.6186-OSP00,PP-0168-左边梁,个,1,60.0,60.0,60.0,60.0,1.0,1.0,1.0,243,,,本厂
2026_19,2026-05-03,F3-56,500109-00677-01-02,F3-56-后梁01,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,377.0,6283.0,本厂
2026_19,2026-05-03,F3-56,500109-00677-01-10,F3-56-膨胀梁01,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,593.0,9883.0,本厂
2026_19,2026-05-03,F3-56,500109-00677-01-01,F3-56-前梁01,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,349.0,5817.0,本厂
2026_19,2026-05-03,F3-56,500109-00677-01-09,F3-56-中部横梁,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,502.0,8367.0,本厂
2026_19,2026-05-03,F3-56,500109-00677-01-03,F3-56-左右边梁01,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,363.0,6050.0,本厂
2026_19,2026-05-03,F3-56,500109-00677-01-04,F3-56-左右边梁02,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,474.0,7900.0,本厂
2026_19,2026-05-03,F1L,500109-00634-01-01-02,F1L-两侧梁右,个,1,,,,1.0,1.0,1.0,1.0,4,74.0,1850.0,本厂
2026_19,2026-05-03,F1L,500109-00634-01-01-01,F1L-两侧梁左,个,1,,,,1.0,1.0,1.0,1.0,4,,,本厂
2026_19,2026-05-03,E35,500109-00312-01-15,E35横梁02,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,,,本厂
2026_19,2026-05-03,E35,500109-00312-01-16,E35横梁03,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,,,本厂
2026_19,2026-05-03,DJ2436,5040076374-XC-14,DJ2436中部横梁,个,1,1.0,1.0,1.0,,,,,3,,,本厂
2026_19,2026-05-03,C01,500109-00249-01-02,C01右边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,150.0,156,,,本厂
2026_19,2026-05-03,C01,500109-00249-01-01,C01左边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,140.0,146,,,本厂
2026_19,2026-05-03,BV85,BV85-B-XC-018,BV85冷板加强板03,个,1,1.0,1.0,1.0,,,,,3,,,本厂
2026_19,2026-05-03,BV85,BV85-B-XC-005,BV85右边梁,个,1,1.0,1.0,1.0,,,,,3,126.0,4200.0,本厂
2026_19,2026-05-03,BV85,BV85-B-XC-008,BV85中横梁,个,1,1.0,1.0,1.0,,,,,3,199.0,6633.0,本厂
2026_19,2026-05-03,BV85,BV85-B-XC-004,BV85左边梁,个,1,1.0,1.0,1.0,,,,,3,144.0,4800.0,本厂
2026_19,2026-05-03,AWT-87.3(E16),500110-00799-01-02,AWT87.3-横梁01,个,1,190.0,190.0,190.0,190.0,190.0,190.0,190.0,1330,1301.0,98.0,本厂
2026_19,2026-05-03,AWT-87.3(E16),500110-00799-01-03,AWT87.3-横梁02,个,1,180.0,180.0,180.0,180.0,180.0,180.0,180.0,1260,1037.0,82.0,本厂
2026_19,2026-05-03,53KWH,500109-00552-01-06,53KWH前梁（552）,个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,1583.0,103.0,本厂
2026_19,2026-05-03,37KWH,500109-00515（552）-01-07,37/53KWH膨胀梁,个,1,330.0,330.0,330.0,330.0,330.0,330.0,330.0,2310,1174.0,51.0,本厂
2026_19,2026-05-03,025AC,10062035-0-04-A,025AC后边梁,个,1,240.0,240.0,240.0,240.0,240.0,240.0,1.0,1441,317.0,22.0,本厂
2026_19,2026-05-03,025AC,10062035-0-05,025AC前横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,552.0,42.0,本厂
2026_19,2026-05-03,025AC,10062035-0-11,025AC右边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,1131.0,92.0,本厂
2026_19,2026-05-03,025AC,10062035-0-06,025AC中横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,1142.0,86.0,本厂
2026_19,2026-05-03,025AC,10062035-0-07,025AC纵梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,863.0,65.0,本厂
2026_19,2026-05-03,025AC,10062035-0-03,025AC左边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,1105.0,90.0,本厂
2026_18,2026-04-26,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,449.0,53.0,本厂
2026_18,2026-04-26,小卡三代,500104-00518-01-03-C,小卡三代-前边框梁,个,1,1.0,1.0,1.0,120.0,120.0,120.0,120.0,483,449.0,93.0,本厂
2026_18,2026-04-26,小卡三代,500104-00518-01-04-A,小卡三代-前膨胀梁,个,1,140.0,140.0,140.0,140.0,140.0,140.0,140.0,980,764.0,78.0,本厂
2026_18,2026-04-26,小卡三代,500104-00518-01-010-02-C,小卡三代-右边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,404.0,64.0,本厂
2026_18,2026-04-26,小卡三代,500104-00518-01-010-01-C,小卡三代-左边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,431.0,68.0,本厂
2026_18,2026-04-26,SEA1/EF1E,500109-00584-10-01-11-02,SEA1两侧梁-右(584),个,1,,,1.0,1.0,1.0,1.0,1.0,5,,,本厂
